"Lesson 9 Phrase"	"<a href=http://www.gutenberg.org/files/8177/8177-h/8177-h.htm>The Esperanto Teacher (by Helen Fryer)</a>"
"Mi havas cent pomojn."	"I have a hundred apples. I have a hundred (of) apples."
"Tiu ĉi urbo havas milionon da loĝantoj."	"This town has a million of inhabitants."
"Mi aĉetis dekduon da kuleroj, kaj du dekduojn da forkoj."	"I bought a dozen (of) spoons, and two dozen (of) forks."
"Mil jaroj (aŭ, milo da jaroj) faras miljaron."	"One thousand years (or, a thousand of years) make a millennium."
"Unue mi redonas al vi la monon, kiun vi pruntis al mi; due mi dankas vin por la prunto; trie mi petas vin ankaŭ poste prunti al mi, kiam mi bezonos monon."	"Firstly, I return to you the money which you lent to me; secondly, I thank you for the loan; thirdly, I beg you also afterwards (on a future occasion) to lend to me when I (shall) require money."
"Tri estas duono de ses, ok estas kvar kvinonoj de dek."	"Three is half of six, eight is four-fifths of ten."
"Kvar metroj da tiu ĉi ŝtofo kostas naŭ frankojn, tial du metroj kostas kvar kaj duonon frankojn (aŭ da frankoj)."	"Four metres of this stuff cost nine francs, therefore two metres cost four and a-half francs."
"Unu tago estas tricent-sesdek-kvinono, aŭ tricent-sesdek-sesono de jaro."	"One day is a three hundred and sixty-fifth or a three hundred and sixty-sixth of a year."
"Kvinoble sep estas tridek kvin."	"Five times seven are thirty-five."
"Por ĉiu tago mi ricevas kvin frankojn, sed por la hodiaŭa tago mi ricevis duoblan pagon, t.e. (= tio estas) dek frankojn."	"For each day I receive five francs, but for to-day I have received double pay, that is, ten francs."
"Tiuj ĉi du amikoj promenas ĉiam duope. Kvinope ili sin ĵetis sur min, sed mi venkis ĉiujn kvin atakantojn."	"These two friends walk out always (two) together. Five together they threw themselves upon me, but I overcame all five assailants."
